Worker,Time (seconds),Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Would you kill another person if your life depended on it?,Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often you remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married
A3PML87QKFPG1R,767,Chennai and Tamilnadu,Female,21-25,Would,I will go to heaven or hell,Exercise,Constantly,Music/Art,Bad,I do,2,Yes,Living with boyfriend/girlfriend,TV,A little of both,Intelligence,Exactly in the middle,Better health,Not much of my time,Exactly in the middle,3,Both about equally,Would,Oldest,Playmate,Neither trustworthy or untrustworthy,Do,More,Home,Yes,Very safe,Money,No,Barack Obama,6-8 hours,With an Alarm clock,Never,Never,Falling,Would not,No,No,No,No,No,Yes,No,Nothing,I'm not married
A3JEJOBTBF6OH5,678,Chennai,Male,21-25,Would,My spirit will return to some universal entity,Exercise,Constantly,Alcohol/Drugs,Bad,I do,3,No,Single,Computer,Very Obedient,Intelligence,Very Strict,Better health,Some of my time,Exactly in the middle,1,Dad,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being unprepared for something,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Intelligence,I'm not married
A1J3XMONDTPCCO,640,Kottayam,Male,21-25,Would not,I will go to heaven or hell,Proper diet,Sometimes,Family/friends,Bad,I do not,2,Yes,Single,Newspapers/Magazines,A little of both,Lifespan,Exactly in the middle,Better job,Some of my time,Exactly in the middle,3,Mom,Would,Middle,Mother or father,Somewhat untrustworthy,Do not,Less,Home,Yes,Somewhat safe,Other,No,Mitt Romney,4-6 hours,Naturally,Seldom,Seldom,Falling,Would not,No,No,Yes,No,Yes,No,Yes,Looks,21-30
A1J3XMONDTPCCO,643,Kottayam,Male,21-25,Would not,I will go to heaven or hell,Proper diet,Sometimes,Family/friends,Bad,I do not,2,Yes,Single,Newspapers/Magazines,A little of both,Lifespan,Exactly in the middle,Better job,Some of my time,Exactly in the middle,3,Mom,Would,Middle,Mother or father,Somewhat untrustworthy,Do not,Less,Home,Yes,Somewhat safe,Other,No,Mitt Romney,4-6 hours,Naturally,Seldom,Seldom,Falling,Would not,No,No,Yes,No,Yes,No,Yes,Looks,I'm not married
A2LPTZAKXCYKOU,414,"Tambaram,tamilnadu",Female,26-30,Would,I will go to heaven or hell,Proper diet,Constantly,Music/Art,Bad,I do,2,No,Married,Computer,Very Obedient,Immunity,Somewhat Strict,More Money,Not much of my time,Somewhat pessimistic,2,Both about equally,Would,Youngest,Owner/master,Very untrustworthy,Do,More,Home,Yes,Neither safe nor scary,Electronics,Yes,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Being chased,Would,No,No,No,No,No,Yes,I don't have a pet,Nothing,21-30
A2VV1ECNIOG7MY,325,Chennai,Male,21-25,Would,My spirit will return to some universal entity,Proper diet,Never,Music/Art,Good,I do,3,Yes,Single,Computer,Very Independent,Nothing,Somewhat Strict,Better health,Some of my time,Very pessimisitc,4,Both about equally,Would,Youngest,Owner/master,Very untrustworthy,Do,More,School,Yes,Very safe,Money,Yes,Barack Obama,More than 8 hours,Naturally,Seldom,Never,Flying,Would,Yes,Yes,Yes,Yes,Yes,Yes,No,Looks,21-30
A3M3ZUA4XJAW9V,425,Tiruchirapalli,Male,21-25,Would,My spirit will return to some universal entity,Exercise,Never,Music/Art,Bad,I do,2,No,Single,Computer,Somewhat Independent,Intelligence,Very Strict,More Money,Most of my time,Very pessimisitc,3,Mom,Would,Youngest,I don't have a pet,Somewhat untrustworthy,Do not,Less,I don't feel completely safe anywhere,Yes,Very scary,Other,No,Barack Obama,6-8 hours,Naturally,Often,Often,Being unprepared for something,Would,No,No,Yes,No,Yes,Yes,I don't have a pet,Intelligence,21-30
AWW6TV8DF8IDS,585,Hyderabad,Male,26-30,Would not,Nothing. Game over.,Exercise,Sometimes,Family/friends,Bad,I do,2,No,Single,Computer,Somewhat Obedient,Intelligence,Somewhat Strict,Better job,Some of my time,Somewhat pessimistic,2,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,Less,I don't feel completely safe anywhere,Yes,Neither safe nor scary,Photo album,No,Barack Obama,6-8 hours,With an Alarm clock,Never,Never,Other,Would,No,No,No,No,No,No,I don't have a pet,Nothing,I'm not married
A3HE9ZCNS8A96D,1118,"Cochin,Kerala,India",Male,21-25,Would,Nothing. Game over.,Environment,Sometimes,Work,Bad,I do,3,No,Single,Newspapers/Magazines,Very Obedient,Immunity,Very Strict,Better job,None of my time,Somewhat pessimistic,3,Both about equally,Would,Youngest,Playmate,Neither trustworthy or untrustworthy,Do,The same,Home,Yes,Very safe,Photo album,No,Barack Obama,6-8 hours,Naturally,Often,Often,Other,Would not,No,No,Yes,Yes,No,No,Yes,Looks,I'm not married
A3TVDFJ22T1FFN,400,Erode,Male,41-45,Would not,Nothing. Game over.,Proper diet,Sometimes,Work,Bad,I do not,2,Yes,Married,TV,A little of both,Immunity,Exactly in the middle,Better health,Not much of my time,Exactly in the middle,2,Dad,Would,Middle,Playmate,Somewhat trustworthy,Do,The same,Home,Yes,Somewhat safe,Other,No,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Being unprepared for something,Would,No,No,No,No,No,Yes,No,Nothing,21-30
A2ZSU42U8BIFLR,1078,India,Male,21-25,Would not,I will go to heaven or hell,Religion,Sometimes,Prayer,Bad,I do,3,No,Single,TV,Very Obedient,Immunity,Exactly in the middle,Better Romance,Some of my time,Exactly in the middle,2,Both about equally,Would,Oldest,I don't have a pet,Somewhat trustworthy,Do,Less,Church/Temple/Mosque,Yes,Very safe,Money,No,Mitt Romney,6-8 hours,With an Alarm clock,Never,Seldom,Other,Would not,No,No,No,No,No,No,I don't have a pet,Sexual ability,I'm not married
A3NCVXBZX2MFC7,700,Bangalore,Male,31-35,Would,My spirit will return to some universal entity,Environment,Constantly,Prayer,Bad,I do,4,Yes,Married,TV,Very Independent,Intelligence,Exactly in the middle,Better health,None of my time,Exactly in the middle,1,Mom,Would,Youngest,Playmate,Somewhat trustworthy,Do not,More,Home,Yes,Very safe,Photo album,No,Mitt Romney,4-6 hours,Naturally,Often,Never,Other,Would not,No,No,Yes,Yes,No,Yes,No,Nothing,21-30
A3632JDLI7PVGN,238,Hyderabad,Male,21-25,Would,I will go to heaven or hell,Genes,Sometimes,Music/Art,Good,I do,4,Yes,Single,Computer,Somewhat Obedient,Appearance,Somewhat Strict,More Money,All my time,Exactly in the middle,4,Dad,Would not,Middle,Owner/master,Somewhat untrustworthy,Do,More,Work,Yes,Very scary,Electronics,Yes,Mitt Romney,Less than 4 hours,With an Alarm clock,Often,Often,Flying,Would not,No,Yes,Yes,No,No,No,I don't have a pet,Nothing,21-30
A2UXKLJVZM5FSG,284,Hyderabad,Male,26-30,Would,I will be reincarnated,Exercise,Sometimes,Music/Art,Good,I do,3,No,Single,Computer,Very Obedient,Intelligence,Very Strict,More Money,Most of my time,Somewhat pessimistic,3,Both about equally,Would,Middle,I don't have a pet,Very untrustworthy,Do,More,Home,Yes,Somewhat safe,Other,Yes,Barack Obama,4-6 hours,With an Alarm clock,Never,Often,Being chased,Would not,No,Yes,Yes,No,Yes,Yes,Yes,Personality,I'm not married
AH8BYA5VEVBHS,473,Ghaziabad District,Female,31-35,Would not,Nothing. Game over.,Proper diet,Sometimes,Family/friends,Good,I do,3,No,Married,TV,A little of both,Immunity,Exactly in the middle,More Money,Not much of my time,Very optimistic,3,Dad,Would not,Oldest,I don't have a pet,Very trustworthy,Do,More,Home,Yes,Very safe,Jewelry,No,Mitt Romney,6-8 hours,With an Alarm clock,Never,Seldom,Being unprepared for something,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Nothing,21-30
AO1KF8AD9VHTI,820,Chandigarh,Male,21-25,Would not,My spirit will return to some universal entity,Proper diet,Never,Music/Art,Good,I do,3,No,Single,TV,A little of both,Intelligence,Somewhat Lenient,Better Romance,Most of my time,Somewhat optimistic,1,Dad,Would,Youngest,I don't have a pet,Very trustworthy,Do not,Less,Home,Yes,Very safe,Jewelry,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Often,Flying,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Nothing,I'm not married
ALTYRO083H1SQ,351,Hyderabad,Male,26-30,Would,I will go to heaven or hell,Proper diet,Once in a while,Family/friends,Bad,I do not,3,Yes,Single,Computer,Very Obedient,Nothing,Somewhat Strict,More Money,Most of my time,Somewhat pessimistic,1,Both about equally,Would,Youngest,Owner/master,Somewhat trustworthy,Do not,The same,Home,No,Somewhat safe,Money,No,Mitt Romney,6-8 hours,Naturally,Often,Often,Being unprepared for something,Would not,No,No,Yes,No,No,Yes,Yes,Personality,I'm not married
A22TOKA80FWFZE,696,Gulbarga District,Male,21-25,Would not,I will go to heaven or hell,Environment,Sometimes,Prayer,Bad,I do,4,No,Single,Computer,Somewhat Obedient,Immunity,Exactly in the middle,Nothing - I'm all good,Most of my time,Exactly in the middle,2,Both about equally,Would,Middle,Playmate,Somewhat trustworthy,Do,The same,I don't feel completely safe anywhere,No,Somewhat safe,Photo album,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being unprepared for something,Would not,No,Yes,Yes,No,No,No,I don't have a pet,Nothing,I'm not married
A2SUP87022BXOI,706,Madurai,Male,21-25,Would,I will go to heaven or hell,Proper diet,Sometimes,Exercise,Bad,I do,2,Yes,Single,Computer,Somewhat Obedient,Intelligence,Somewhat Strict,More Money,Some of my time,Exactly in the middle,1,Both about equally,Would,Youngest,Owner/master,Somewhat trustworthy,Do,The same,Home,Yes,Somewhat safe,Money,No,Mitt Romney,6-8 hours,Naturally,Often,Often,Being unprepared for something,Would not,No,Yes,Yes,Yes,No,Yes,Yes,Looks,21-30
A1TW60NCALLP12,188,Bangalore,Male,21-25,Would not,I will go to heaven or hell,Religion,Sometimes,Music/Art,Bad,I do,2,No,Single,TV,A little of both,Immunity,Exactly in the middle,Better job,Not much of my time,Somewhat pessimistic,1,Dad,Would not,Middle,Peer,Somewhat untrustworthy,Do,Less,Home,Yes,Somewhat scary,Jewelry,Yes,Barack Obama,More than 8 hours,With an Alarm clock,Often,Often,Flying,Would not,No,No,No,Yes,Yes,Yes,Yes,Intelligence,21-30
A2PO2RL2570K16,739,"Thiruvananthapuram, India",Male,21-25,Would,Nothing. Game over.,Proper diet,Sometimes,Family/friends,Bad,I do,4,No,Single,Computer,A little of both,Intelligence,Exactly in the middle,Better job,Some of my time,Somewhat optimistic,2,Dad,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Never,Flying,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,I'm not married
A1LWST4TM0ZBR8,199,Kolkata,Female,26-30,Would,My spirit will return to some universal entity,Proper diet,Sometimes,Exercise,Bad,I do,3,No,Married,Computer,A little of both,Lifespan,Somewhat Strict,Better health,Some of my time,Somewhat pessimistic,3,Dad,Would,Youngest,Owner/master,Somewhat untrustworthy,Do,Less,School,Yes,Very scary,Money,No,Barack Obama,4-6 hours,From a Rooster,Seldom,Never,Being naked in public,Would,No,No,No,Yes,No,Yes,I don't have a pet,Sexual ability,21-30
A25JHOMQM0CST3,551,New Delhi,Female,26-30,Would not,Nothing. Game over.,Exercise,Sometimes,Music/Art,Bad,I do not,3,No,Married,Computer,Very Obedient,Immunity,Very Strict,More Money,Some of my time,Somewhat pessimistic,1,Mom,Would,Oldest,I don't have a pet,Somewhat trustworthy,Do not,More,I don't feel completely safe anywhere,Yes,Somewhat safe,Jewelry,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Being unprepared for something,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Looks,21-30
A3343ON7H5UO3L,897,Madurai,Male,21-25,Would,Nothing. Game over.,Exercise,Sometimes,Work,Bad,I do,1,No,Single,Computer,Very Obedient,Immunity,Somewhat Strict,Better job,Some of my time,Exactly in the middle,1,Dad,Would,Youngest,I don't have a pet,Somewhat untrustworthy,Do,More,I don't feel completely safe anywhere,No,Very safe,Photo album,Yes,Barack Obama,6-8 hours,Naturally,Often,Often,Being chased,Would,No,No,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A37U7TSAX8YXIK,573,Dindigul,Male,26-30,Would,I will go to heaven or hell,Proper diet,Constantly,Family/friends,Good,I do,2,Yes,Married,Computer,A little of both,Appearance,Very Strict,More Money,All my time,Somewhat pessimistic,3,Dad,Would,Youngest,I don't have a pet,Very untrustworthy,Do,More,I don't feel completely safe anywhere,Yes,Somewhat scary,Jewelry,Yes,Barack Obama,4-6 hours,With an Alarm clock,Seldom,Often,Falling,Would,No,Yes,Yes,No,Yes,Yes,No,Sexual ability,21-30
A16R2XKT8WFNL9,1233,Kayamkulam,Male,51+,Would,I will go to heaven or hell,Exercise,Constantly,Music/Art,Bad,I do,3,Yes,Married,Newspapers/Magazines,A little of both,Intelligence,Exactly in the middle,More Money,Some of my time,Very optimistic,2,Both about equally,Would,Middle,Owner/master,Somewhat untrustworthy,Do,More,I don't feel completely safe anywhere,Yes,Neither safe nor scary,Money,No,Mitt Romney,6-8 hours,Naturally,Seldom,Seldom,Other,Would not,No,No,No,No,No,No,Yes,Nothing,21-30
A32T7FFW3QCNPD,537,Chennai,Male,Under 20,Would not,My spirit will return to some universal entity,Exercise,Sometimes,Family/friends,Good,I do,1,No,Single,Computer,Very Independent,Intelligence,Exactly in the middle,More Free time,Some of my time,Exactly in the middle,3,Dad,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do not,More,Home,Yes,Somewhat safe,Money,No,Barack Obama,4-6 hours,Naturally,Often,Often,Other,Would,No,No,No,No,No,Yes,I don't have a pet,Personality,21-30
ASZQ2CRRIIYIT,568,Bangalore,Female,26-30,Would not,I will go to heaven or hell,Proper diet,Constantly,Family/friends,Bad,I do not,3,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Better Romance,Some of my time,Exactly in the middle,2,Mom,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,The same,Home,Yes,Neither safe nor scary,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Often,Falling,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Nothing,21-30
A2KRVL8DQRYZ8S,591,Evanston,Male,21-25,Would not,I will go to heaven or hell,Environment,Constantly,Music/Art,Bad,I do not,2,No,Single,TV,Somewhat Independent,Lifespan,Exactly in the middle,Nothing - I'm all good,Some of my time,Somewhat pessimistic,2,Mom,Would,Youngest,Playmate,Neither trustworthy or untrustworthy,Do not,Less,Home,Yes,Very safe,Other,No,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Falling,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Nothing,I'm not married
A1VO6LCTDUJION,547,Thiruvananthapuram India,Male,21-25,Would not,I will go to heaven or hell,Exercise,Sometimes,Work,Bad,I do,2,No,Single,Newspapers/Magazines,A little of both,Nothing,Exactly in the middle,Better health,Some of my time,Exactly in the middle,2,Dad,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,Less,Home,Yes,Very safe,Other,No,Barack Obama,4-6 hours,With an Alarm clock,Never,Seldom,Other,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Personality,I'm not married
A2ZKF59DK6SF8M,785,Thiruvananthapuram district,Female,31-35,Would,Nothing. Game over.,Environment,Constantly,Exercise,Bad,I do,1,Yes,Married,Newspapers/Magazines,Very Obedient,Lifespan,Very Strict,Better job,Not much of my time,Very optimistic,4,Dad,Would,Oldest,Mother or father,Somewhat untrustworthy,Do not,More,I don't feel completely safe anywhere,Yes,Somewhat scary,Photo album,No,Mitt Romney,4-6 hours,Naturally,Seldom,Seldom,Being unprepared for something,Would not,No,Yes,Yes,No,No,Yes,Yes,Intelligence,Under 20
A176INQFRYH6F8,677,Mylapore,Male,21-25,Would,Nothing. Game over.,Proper diet,Constantly,Music/Art,Good,I do,3,Yes,Married,Computer,Somewhat Obedient,Intelligence,Somewhat Strict,Better health,Some of my time,Somewhat pessimistic,2,Both about equally,Would,Middle,Mother or father,Very untrustworthy,Do,More,Home,Yes,Somewhat scary,Jewelry,No,Mitt Romney,6-8 hours,With an Alarm clock,Often,Often,Falling,Would,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Intelligence,21-30
AE0NZIHSQ89DG,1231,"city, Tamil nadu",Female,21-25,Would,Nothing. Game over.,Proper diet,Constantly,Alcohol/Drugs,Bad,I do,2,No,Single,Computer,A little of both,Intelligence,Somewhat Strict,Better job,Not much of my time,Somewhat optimistic,3,Dad,Would,Youngest,Playmate,Neither trustworthy or untrustworthy,Do,Less,Home,Yes,Very safe,Photo album,No,Mitt Romney,6-8 hours,Naturally,Often,Often,Being chased,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Intelligence,I'm not married
AS5OG2PNDHRVQ,351,Bangalore,Male,31-35,Would,Nothing. Game over.,Proper diet,Once in a while,Work,Bad,I do not,4,Yes,Married,TV,A little of both,Intelligence,Somewhat Strict,More Free time,None of my time,Exactly in the middle,3,Both about equally,Would,Oldest,Owner/master,Somewhat trustworthy,Do not,Less,Home,Yes,Somewhat safe,Money,Yes,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Being unprepared for something,Would,No,No,Yes,Yes,No,Yes,I don't have a pet,Sexual ability,31-40
A39GOOWZ38C3ID,314,New Delhi,Male,21-25,Would not,My spirit will return to some universal entity,Exercise,Once in a while,Music/Art,Good,I do not,2,No,Single,Computer,Somewhat Obedient,Lifespan,Somewhat Strict,Better Romance,Some of my time,Somewhat pessimistic,2,Mom,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,Less,I don't feel completely safe anywhere,Yes,Neither safe nor scary,Electronics,No,Mitt Romney,6-8 hours,With an Alarm clock,Often,Often,Falling,Would not,No,Yes,Yes,Yes,No,Yes,I don't have a pet,Looks,I'm not married
A78ZZHBJO39YO,525,"mumbai,maharashtra/india",Female,26-30,Would,Nothing. Game over.,Proper diet,Sometimes,Music/Art,Bad,I do,3,No,Married,Computer,A little of both,Nothing,Exactly in the middle,Better job,Some of my time,Exactly in the middle,2,Mom,Would not,Youngest,I don't have a pet,Neither trustworthy or untrustworthy,Do,The same,Home,Yes,Somewhat safe,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Other,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,21-30
A1NRIMZ1QAI85H,589,Chennai and Tamilnadu/ India,Male,26-30,Would,Nothing. Game over.,Environment,Once in a while,Music/Art,Bad,I do,3,No,Single,SmartPhone,A little of both,Nothing,Exactly in the middle,Better job,Most of my time,Exactly in the middle,2,Mom,Would,I don't have siblings,I don't have a pet,Somewhat trustworthy,Do,The same,Work,Yes,Very safe,Photo album,No,Barack Obama,4-6 hours,With an Alarm clock,Seldom,Often,Other,Would not,No,No,No,Yes,No,Yes,I don't have a pet,Nothing,I'm not married
A3COHX37259YFK,898,Nagercoil,Male,21-25,Would,I will go to heaven or hell,Proper diet,Constantly,Exercise,Bad,I do,2,No,Single,Computer,A little of both,Intelligence,Very Strict,Better health,Most of my time,Exactly in the middle,2,Both about equally,Would,I don't have siblings,I don't have a pet,Neither trustworthy or untrustworthy,Do,Less,Home,Yes,Somewhat safe,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Other,Would not,No,No,Yes,Yes,No,Yes,I don't have a pet,Sexual ability,I'm not married
AMNP572RDTIY4,509,Alangudi,Male,26-30,Would,I will go to heaven or hell,Genes,Constantly,Work,Good,I do,2,Yes,Single,Computer,A little of both,Lifespan,Exactly in the middle,Better job,Some of my time,Very optimistic,5+,Both about equally,Would,Middle,Mother or father,Somewhat trustworthy,Do,The same,Work,Yes,Somewhat scary,Money,No,Barack Obama,4-6 hours,Naturally,Often,Often,Flying,Would,No,No,Yes,Yes,Yes,Yes,No,Intelligence,21-30
A2CS8ESKDX6EBA,364,Hyderabad,Male,21-25,Would,I will go to heaven or hell,Religion,Constantly,Prayer,Bad,I do,3,No,Single,TV,Somewhat Obedient,Intelligence,Somewhat Strict,More Money,Most of my time,Somewhat optimistic,3,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,Less,Home,Yes,Very safe,Money,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Other,Would,No,No,Yes,Yes,No,Yes,I don't have a pet,Intelligence,I'm not married
A11PDOI5W1BIKE,768,coimbatore tamilnadu / india,Female,31-35,Would not,Nothing. Game over.,Proper diet,Sometimes,Exercise,Bad,I do,2,Yes,Married,TV,Somewhat Obedient,Lifespan,Exactly in the middle,Nothing - I'm all good,Some of my time,Somewhat pessimistic,3,Both about equally,Would,Youngest,Can-opener,Somewhat untrustworthy,Do,The same,Home,Yes,Somewhat safe,Money,No,Barack Obama,4-6 hours,With an Alarm clock,Seldom,Seldom,Being unprepared for something,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Intelligence,21-30
AZVJHDJVK9W8S,428,Coimbatore,Female,Under 20,Would not,Nothing. Game over.,Proper diet,Sometimes,Family/friends,Bad,I do not,4,No,Single,Computer,Somewhat Independent,Intelligence,Very Strict,Better Romance,Some of my time,Exactly in the middle,2,Mom,Would,Youngest,I don't have a pet,Somewhat untrustworthy,Do not,More,Home,Yes,Very safe,Jewelry,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Being unprepared for something,Would not,Yes,Yes,No,Yes,No,Yes,Yes,Nothing,I'm not married
A2B1AN82X46IH7,205,Hyderabad,Male,Under 20,Would,I will be reincarnated,Proper diet,Sometimes,Music/Art,Bad,I do not,5+,Yes,Divorced/Separated,Other people,Somewhat Obedient,Intelligence,Somewhat Lenient,More Money,Most of my time,Somewhat pessimistic,3,Both about equally,Would not,Oldest,I don't have a pet,Somewhat untrustworthy,Do not,The same,School,No,Very safe,Other,No,Mitt Romney,4-6 hours,By a Pet,Seldom,Seldom,Being chased,Would not,Yes,No,Yes,Yes,Yes,No,I don't have a pet,Nothing,I'm not married
A1UR659V1A15RP,633,Machilipatnam,Female,21-25,Would,Nothing. Game over.,Proper diet,Constantly,Work,Bad,I do,3,No,Single,Newspapers/Magazines,Somewhat Independent,Immunity,Exactly in the middle,Better health,Some of my time,Exactly in the middle,3,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Often,Other,Would not,No,No,No,Yes,No,Yes,I don't have a pet,Intelligence,21-30
A1UR659V1A15RP,639,Machilipatnam,Female,21-25,Would,Nothing. Game over.,Proper diet,Constantly,Work,Bad,I do,3,No,Single,Newspapers/Magazines,Somewhat Independent,Immunity,Exactly in the middle,Better health,Some of my time,Exactly in the middle,3,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Often,Other,Would not,No,No,No,Yes,No,Yes,I don't have a pet,Intelligence,I'm not married
A1UR659V1A15RP,652,Machilipatnam,Female,21-25,Would,Nothing. Game over.,Proper diet,Constantly,Work,Bad,I do,3,No,Single,Newspapers/Magazines,Somewhat Independent,Immunity,Exactly in the middle,Better health,Some of my time,Exactly in the middle,3,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Often,Other,Would not,No,No,No,Yes,No,Yes,I don't have a pet,Intelligence,I'm not married
A1FUOWK3CY2XD2,988,Chennai and tamilnadu / india ,Male,26-30,Would,I will go to heaven or hell,Environment,Sometimes,Family/friends,Bad,I do,3,No,Single,Newspapers/Magazines,A little of both,Nothing,Very Lenient,Better health,Some of my time,Exactly in the middle,5+,Both about equally,Would not,Middle,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Neither safe nor scary,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Never,Never,Other,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,I'm not married
A29ZTF7JUO8F39,378,Mumbai,Male,21-25,Would not,My spirit will return to some universal entity,Proper diet,Once in a while,Exercise,Bad,I do,3,Yes,Single,Newspapers/Magazines,Somewhat Obedient,Nothing,Very Strict,Nothing - I'm all good,Most of my time,Very optimistic,3,Mom,Would,Youngest,I don't have a pet,Somewhat untrustworthy,Do,Less,Home,Yes,Very safe,Other,No,Barack Obama,4-6 hours,Naturally,Seldom,Never,Being unprepared for something,Would not,No,Yes,Yes,Yes,No,Yes,I don't have a pet,Nothing,21-30
ABNNRMNAR6TCH,352,Kochi,Male,21-25,Would,My spirit will return to some universal entity,Proper diet,Once in a while,Music/Art,Bad,I do,3,No,Single,Newspapers/Magazines,Somewhat Obedient,Intelligence,Somewhat Strict,Better job,Some of my time,Very optimistic,2,Both about equally,Would,Oldest,I don't have a pet,Somewhat untrustworthy,Do,More,School,Yes,Somewhat scary,Other,Yes,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being chased,Would,No,No,No,No,Yes,No,Yes,Personality,I'm not married
A2RI62KT35Z4PW,515,Thiruvananthapuram,Male,21-25,Would,I will go to heaven or hell,Environment,Sometimes,Work,Bad,I do,4,Yes,Single,Newspapers/Magazines,Very Obedient,Intelligence,Exactly in the middle,Better health,Most of my time,Exactly in the middle,4,Both about equally,Would,Middle,Mother or father,Neither trustworthy or untrustworthy,Do,More,Home,Yes,Very scary,Other,No,Barack Obama,6-8 hours,Naturally,Often,Often,Other,Would,Yes,Yes,Yes,Yes,No,Yes,Yes,Personality,21-30
A1C8UN2E126P0M,716,Kozhikode,Male,21-25,Would not,Nothing. Game over.,Environment,Never,Music/Art,Good,I do not,2,No,Single,Computer,Somewhat Independent,Intelligence,Somewhat Strict,More Free time,All my time,Exactly in the middle,2,Neither,Would,Oldest,I don't have a pet,Somewhat untrustworthy,Do not,The same,Home,No,Somewhat safe,Other,No,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Other,Would not,No,Yes,Yes,Yes,No,Yes,I don't have a pet,Looks,I'm not married
