Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
,male,33,would,I will go to heaven or hell,Proper diet,At times,Prayer,good,Do,10,did,Married,Computer,,,,,,,,,,,,,Do,,Home,,Do,Electronics,Mitt Romney,,,,,,,,,,,,,,,,,
,male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ????????? ????????? ????? ??????,male,31,would not,,Exercise,Sometimes,Exercise,good,,3,did not,Cohabitating,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would,is not,is,No,Nothing,,,
,male,27,would not,I will go to heaven or hell,Proper diet,Sometimes,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better health,8,Optimistic,1,Both about equally,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Mitt Romney,8,Alarm clock,Seldom,Seldom,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,28,,
Hoffman Estates Illinois United States,male,23,would,My spirit will return home,Proper diet,Constantly,Music/Art,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More money,5,Optimistic,1,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,,7,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have not,would not,is not,is,Yes,Sexual ability,23,,
,male,38,would,My spirit will return home,Environment,Never,Alcohol/Drugs,bad,Do not,1,did,Married,SmartPhone,Obedient,Immunity,Strict,More money,2,Optimistic,2,Both about equally,would,Middle,Can-opener,Untrustworthy,Do not,More,Home,Safe,Do not,Photo albums,Mitt Romney,6,Pet,Often,Never,Flying,Would,Have not,Do not,have,would,is not,is,No,Nothing,38,,
Tuttle Oklahoma United States,male,33,would not,I will go to heaven or hell,Proper diet,At times,Family/Friends,bad,Do,1,did not,Married,Computer,Obedient,Intelligence,Strict,More money,0,Optimistic,1,Dad,would,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,,6,Alarm clock,Seldom,Seldom,Being chased,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,20,,
Melbourne Victoria Australia,male,32,would not,Nothing. Game over.,Exercise,Constantly,Music/Art,bad,Do,1,did,Single,Computer,Obedient,Immunity,Strict,Better romance,2,Optimistic,2,Mom,would not,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Often,Often,Naked in public,Would,Have,Do not,have not,would,is not,is,No,Intelligence,0,,
Phoenix Arizona United States,female,50,would not,I will go to heaven or hell,Environment,Sometimes,Music/Art,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better job,4,Optimistic,3,Neither,would not,Middle,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Pet,Seldom,Seldom,Other,Would,Have,Do,have not,would,is not,is not,No,Nothing,0,,
Manizales Caldas Colombia,male,19,would,I will go to heaven or hell,Exercise,Sometimes,Family/Friends,good,,10,did,Single,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala City Guatemala Guatemala,male,43,would,Nothing. Game over.,Proper diet,Never,Family/Friends,bad,Do not,4,did,Married,Computer,Obedient,Immunity,Strict,Nothing,4,Optimistic,1,Dad,would not,Middle,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,8,Naturally,Often,Seldom,Flying,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,33,,
,male,31,would,Nothing. Game over.,Exercise,At times,Exercise,good,Do,2,did not,Cohabitating,Computer,Obedient,Lifespan,Strict,More free time,1,Optimistic,1,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would not,Have,Do not,have not,would not,is,is,Yes,Nothing,,,
,male,51,would,Nothing. Game over.,Proper diet,At times,Exercise,bad,Do,1,did,Married,Computer,Obedient,Lifespan,Strict,More money,3,Optimistic,1,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Mitt Romney,8,Naturally,Seldom,Seldom,Other,Would not,Have not,Do not,have,would not,is not,is,Yes,All of the above,29,,
Baltimore Maryland United States,male,27,would,Nothing. Game over.,Genes,Never,Family/Friends,good,Do,1,did,Cohabitating,Computer,Obedient,Lifespan,Strict,Nothing,1,Optimistic,1,Dad,would,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,7,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,No,Nothing,,,
College Station Texas United States,male,33,would not,I will go to heaven or hell,Exercise,Constantly,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Nothing,Strict,Better job,3,Optimistic,1,Both about equally,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do,have not,would,is not,is,No,Sexual ability,30,,
,male,29,would not,I will go to heaven or hell,Proper diet,At times,Family/Friends,good,Do,1,did,Married,Computer,Obedient,Immunity,Strict,More free time,1,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Place of worship,Safe,Do,Gun,Mitt Romney,7,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is,Yes,Looks,18,,
Sunnyvale California United States,female,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brno-?idenice Jihomoravsk� kraj ?esk� republika,male,27,would,My spirit will return home,Proper diet,At times,Music/Art,bad,Do,2,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Both about equally,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is,Yes,Sexual ability,,,
,female,43,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,good,Do,1,did,Married,Computer,Obedient,Nothing,Strict,More money,2,Optimistic,2,Mom,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,5,Naturally,Seldom,Seldom,Other,Would not,Have not,Do,have not,would,is not,is,No,Sexual ability,19,,
Brea California United States,male,35,would,Nothing. Game over.,Environment,Sometimes,Music/Art,good,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,Better health,2,Optimistic,2,Dad,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,5,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have,would,is not,is,No,Nothing,25,,
Chula Vista California United States,female,39,would not,I will go to heaven or hell,Genes,At times,Alcohol/Drugs,good,Do not,2,did,Cohabitating,Computer,,Intelligence,,More money,2,,,Both about equally,would not,Oldest,Can-opener,,Do not,,Home,,Do,Photo albums,Barack Obama,9,Naturally,Often,Often,Other,Would not,Have,Do,have,would,is not,is not,No,Personality,,,
Makati,male,41,would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wokingham United Kingdom,female,45,would,My spirit will return home,Proper diet,At times,Family/Friends,bad,Do,10,did,Divorced,Tablet,Obedient,Immunity,Strict,More free time,3,Optimistic,2,Dad,would,Youngest,Playmate,Untrustworthy,Do,,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Often,Often,Other,Would not,Have not,Do not,have not,would,is,is,Yes,Nothing,21,,
Collegeville Pennsylvania United States,male,20,would not,Nothing. Game over.,Exercise,At times,Music/Art,good,Do,1,did,Single,SmartPhone,Obedient,Immunity,Strict,Better health,4,Optimistic,2,Both about equally,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Often,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
San Salvador San Salvador El Salvador,male,23,would,I will go to heaven or hell,Exercise,Constantly,Family/Friends,bad,Do not,2,did,Single,Computer,Obedient,Appearance,Strict,Better romance,6,Optimistic,2,Both about equally,would not,Oldest,Owner,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do,have,would,is not,is,Yes,Personality,28,,
,male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Florida United States,male,34,would,I will be reincarnated,Genes,Sometimes,Music/Art,good,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Both about equally,would,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Often,Often,Flying,Would,Have not,Do not,have not,would,is not,is,No,Nothing,0,,
Duluth Minnesota United States,male,29,would not,I will go to heaven or hell,Exercise,Sometimes,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Appearance,Strict,More free time,1,Optimistic,2,Dad,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,8,Alarm clock,Never,Never,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Intelligence,26,,
Fairfax Virginia United States,male,25,would not,I will go to heaven or hell,Proper diet,At times,Family/Friends,bad,,2,did not,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would not,is not,is,No,Nothing,27,,
Boston Massachusetts United States,male,23,would not,I will go to heaven or hell,Exercise,At times,Exercise,good,Do,1,did not,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,0,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
,male,22,would,Nothing. Game over.,Exercise,Sometimes,Music/Art,good,Do,4,did not,Single,Computer,Obedient,Intelligence,Strict,Better romance,,Optimistic,2,Both about equally,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,9,Naturally,Often,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,Yes,All of the above,,,
,male,36,would,Nothing. Game over.,Genes,Sometimes,Music/Art,bad,Do,2,did not,Married,Computer,,Immunity,,More money,2,Optimistic,2,Both about equally,would not,Oldest,I don't have a pet,,Do,,Home,,Do not,Other,Mitt Romney,7,Child/Children,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is,Yes,Looks,30,,
  ,female,35,would not,Nothing. Game over.,Genes,Sometimes,Alcohol/Drugs,good,Do,,did not,Married,Computer,Obedient,Appearance,Strict,Better health,4,Optimistic,1,Both about equally,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,9,Naturally,Seldom,Seldom,Other,Would not,Have not,,have,would not,is not,is not,Yes,Personality,24,,
,female,23,would not,Nothing. Game over.,Exercise,At times,Alcohol/Drugs,good,,2,did not,Cohabitating,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York New York United States,male,29,would not,Nothing. Game over.,Genes,Sometimes,Alcohol/Drugs,good,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,5,Optimistic,2,Both about equally,would not,Middle,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would,is not,is,Yes,Looks,0,,
V�ster�  Sverige,male,18,would,Nothing. Game over.,Exercise,Sometimes,Music/Art,good,Do,20,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More money,40,Optimistic,20,Neither,would not,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Other,Mitt Romney,80,Alarm clock,Never,Seldom,Other,Would,Have,Do not,have,would,is,is,No,Nothing,0,,
,male,43,would,Nothing. Game over.,Proper diet,Sometimes,Exercise,good,Do not,1,did,Single,Computer,Obedient,Appearance,Strict,More money,16,Optimistic,0,Neither,would not,Youngest,I don't have a pet,Untrustworthy,Do not,More,I don't feel safe,Safe,Do not,Other,Mitt Romney,8,Naturally,Never,Often,Other,Would,Have not,Do not,have not,would,is not,is,,,,,
Waynesville Ohio United States,male,24,would,I will go to heaven or hell,Exercise,At times,Family/Friends,good,Do not,2,did,Single,Other people,Obedient,Intelligence,Strict,Better job,18,Optimistic,3,Neither,would not,Oldest,Peer,Untrustworthy,Do not,More,Place of worship,Safe,Do,Electronics,Barack Obama,10,Naturally,Never,Seldom,Other,Would,Have not,Do not,have not,would,is not,is not,Yes,,,,
Copiap� Regi�n de Atacama Chile,male,22,would,My spirit will return home,Environment,At times,Alcohol/Drugs,good,Do,2,did not,Single,SmartPhone,,Immunity,,Better romance,4,Optimistic,0,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have,would,is,is,Yes,Nothing,,,
Singapore,male,39,would not,Nothing. Game over.,Exercise,Constantly,Exercise,good,Do,2,did not,Married,SmartPhone,Obedient,Nothing,Strict,More money,1,Optimistic,2,Both about equally,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,No,Nothing,33,,
Berlin,male,25,would,My spirit will return home,Exercise,Sometimes,Work,bad,Do not,2,did,Single,Other people,Obedient,Intelligence,Strict,More money,11,Optimistic,2,Neither,would,Youngest,Peer,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is,No,Intelligence,0,,
Boston,male,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinehurst North Carolina United States,male,34,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do not,1,did,Married,Computer,Obedient,Intelligence,Strict,Better romance,7,Optimistic,1,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Mitt Romney,6,Pet,Seldom,Seldom,Other,Would not,Have not,Do,have,would,is not,is not,Yes,Personality,27,,
??? ???? ????,male,47,would not,My spirit will return home,Exercise,Sometimes,Music/Art,bad,Do,2,did,Married,SmartPhone,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Neither,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,10,Naturally,Often,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,29,,
Santa Clara California United States,male,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Collins Colorado United States,male,25,would,I will be reincarnated,Proper diet,At times,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Immunity,Strict,Better romance,15,Optimistic,1,Both about equally,would,I don't have any siblings,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have not,would,is not,is,No,Nothing,0,,
Winston-Salem North Carolina United States,male,43,would,My spirit will return home,Exercise,Never,Music/Art,good,Do,1,did,Single,SmartPhone,Obedient,Nothing,Strict,Nothing,13,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,,6,Naturally,Seldom,Often,Other,Would not,Have not,Do not,have,,,,,,,,
,,,,Nothing. Game over.,,Sometimes,,,,,did not,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,would,Nothing. Game over.,Proper diet,Constantly,Exercise,bad,,1,did not,Cohabitating,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanoi Hanoi Vietnam,male,32,would,I will go to heaven or hell,Proper diet,At times,Music/Art,good,Do,1,did,Married,Computer,Obedient,Immunity,Strict,Better health,10,Optimistic,3,Mom,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is,is,Yes,Personality,28,,
Seattle Washington United States,male,37,would not,My spirit will return home,Environment,Sometimes,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Immunity,Strict,More free time,1,Optimistic,1,Both about equally,would,Youngest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Often,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,All of the above,36,,
,,,would not,Nothing. Game over.,Exercise,At times,Family/Friends,bad,Do,1,did not,Single,Computer,,Nothing,,More money,8,,0,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do,Money,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would not,Have not,Do,have not,would,is not,is,Yes,Personality,28,,
,male,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lima,male,23,would not,I will be reincarnated,Environment,Sometimes,Alcohol/Drugs,bad,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better romance,6,Optimistic,2,Mom,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Often,Being chased,Would,Have not,Do,have not,would,is not,is,Yes,Nothing,0,,
,,,,,,,,,,,did,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia Regi�n de Murcia Espa�,female,23,would,Nothing. Game over.,Exercise,Sometimes,Music/Art,good,Do,2,did,Single,Computer,,Immunity,,More money,15,,2,Mom,would not,Youngest,Can-opener,,Do,,Home,,Do not,Other,Barack Obama,10,Alarm clock,Often,Often,Naked in public,Would,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,0,,
Southborough Massachusetts United States,male,45,would,Nothing. Game over.,Proper diet,Sometimes,Exercise,bad,Do,1,did,Married,Computer,Obedient,Nothing,Strict,More free time,1,Optimistic,2,Both about equally,would not,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Pet,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,30,,
San Francisco California United States,female,25,would,I will be reincarnated,Genes,Never,Family/Friends,bad,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,Better romance,0,Optimistic,10,Neither,would,Youngest,Owner,Untrustworthy,Do,More,I don't feel safe,Safe,Do,Money,Barack Obama,1,Rooster,Often,Never,Being chased,Would,Have not,Do not,have not,would,is,is not,No,Sexual ability,36,,
S�o Paulo S�o Paulo Rep�blica Federativa do Brasil,male,23,would,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,Do,2,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better job,9,Optimistic,2,Both about equally,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Seldom,Never,Other,Would not,Have not,Do not,have,would not,is not,is,Yes,Personality,,,
Tirana  Albania,male,21,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,40,did not,Cohabitating,Computer,Obedient,Nothing,Strict,Better health,20,Optimistic,20,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do,Electronics,Mitt Romney,60,Family member,Never,Seldom,Flying,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,0,,
,male,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??? ??? ??,male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Town Penang Malaysia,male,52,,,,,,,Do,,,,,Obedient,Immunity,Strict,Better health,8,Optimistic,2,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Place of worship,Safe,Do,Other,Barack Obama,6,Naturally,Often,Seldom,Other,Would not,Have,Do,have,would not,is not,is,Yes,Personality,27,,
Fairfax Virginia United States,female,24,would not,Nothing. Game over.,Exercise,At times,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,8,Optimistic,1,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,Barack Obama,6,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,0,,
Wilmington North Carolina United States,male,26,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do,1,did,Single,SmartPhone,Obedient,Lifespan,Strict,Better job,12,Optimistic,2,Dad,would not,I don't have any siblings,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,8,Naturally,Often,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Intelligence,0,,
New York City New York United States,male,43,would not,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do,2,did,Married,Computer,Obedient,Intelligence,Strict,More free time,3,Optimistic,1,Both about equally,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Pet,Often,Often,Other,Would not,Have not,Do,have,would,is,is,No,Nothing,19,,
Dublin Ireland,male,25,would,Nothing. Game over.,Proper diet,Never,Music/Art,bad,Do,2,did,Cohabitating,Computer,Obedient,Nothing,Strict,Better job,3,Optimistic,1,Dad,would,Middle,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,,,,,,,,,,,,,,,,,
??,male,37,would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland Auckland New Zealand,male,26,would,Nothing. Game over.,Proper diet,At times,Exercise,good,Do,1,did,Single,Computer,Obedient,Immunity,Strict,Better health,3,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Never,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,0,,
West Linn Oregon United States,male,18,would,I will go to heaven or hell,Environment,Sometimes,Music/Art,bad,Do,2,did,Cohabitating,Computer,Obedient,Intelligence,Strict,Better romance,4,Optimistic,2,Mom,would not,Middle,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,,,,,,,,,,,,,,,,,
Milford Massachusetts United States,male,29,would,Nothing. Game over.,Environment,At times,Family/Friends,good,,1,did,Cohabitating,Computer,Obedient,Lifespan,Strict,Better health,2,Optimistic,1,Both about equally,would not,Youngest,Peer,,,,,,,,,,,,,,,,,have not,would,is not,is,No,Nothing,,,
Sunnyvale California United States,female,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Colorado United States,male,27,would,Nothing. Game over.,Exercise,Never,Exercise,bad,Do,1,did,Married,Computer,Obedient,Appearance,Strict,More free time,6,Optimistic,1,Both about equally,would not,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Never,Seldom,Other,Would,Have,Do not,have,would,is not,is,No,Nothing,26,,
,male,20,would not,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do not,2,did,Single,Computer,Obedient,Immunity,Strict,Better romance,18,Optimistic,2,Neither,would not,Youngest,Peer,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,8,Naturally,Seldom,Seldom,Other,Would,Have not,Do,have not,would,is not,is,No,All of the above,0,,
Lublin Lubelskie Polska,male,23,would not,I will go to heaven or hell,Environment,Sometimes,Exercise,bad,Do,2,did,Cohabitating,Computer,Obedient,Nothing,Strict,More money,8,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Often,Being unprepared,Would not,Have not,Do not,have,would not,is not,is,Yes,Nothing,0,,
Uppsala  Sverige,male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,26,would,Nothing. Game over.,Environment,At times,Alcohol/Drugs,bad,Do,1,did,Single,Computer,Obedient,Lifespan,Strict,Better health,23,Optimistic,1,Both about equally,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine California United States,female,44,would not,Nothing. Game over.,Proper diet,At times,Exercise,bad,Do,1,did,Single,Computer,Obedient,Immunity,Strict,More money,2,Optimistic,2,Mom,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,,,,,,,,,,,,,,,,,,
,female,20,would not,I will be reincarnated,Exercise,At times,Music/Art,bad,Do not,40,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More money,60,Optimistic,20,Both about equally,would,Middle,Peer,Untrustworthy,Do not,More,Home,Safe,Do,Jewelry,Barack Obama,80,Family member,Seldom,Seldom,Other,Would,Have not,Do,have,would not,is,is,No,All of the above,0,,
Moscow  Russia,female,27,would,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,bad,Do,2,did,Cohabitating,Computer,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,6,Alarm clock,Seldom,Seldom,Naked in public,Would not,Have not,,have not,would,,is,No,Intelligence,0,,
,male,32,would,Nothing. Game over.,Exercise,Sometimes,Exercise,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,11,Optimistic,2,Both about equally,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Naked in public,Would,Have not,Do,have,would,is not,is,Yes,Nothing,,,
Kingsport,male,23,would,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do not,1,did not,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,3,Optimistic,1,Mom,would,Youngest,Playmate,Untrustworthy,Do not,More,Home,Safe,Do,Electronics,Barack Obama,,,,,,,,,have not,would,,is not,,,,,
